index,byte,bit,quest_id,category,prowler,rank,name,notes
82,10,2,341,Village,no,3,Travelers in Trouble,
83,10,3,342,Village,no,3,Royal Rhinos Gone Wild,
84,10,4,343,Village,no,3,Marshlands Accounting,
85,10,5,401,Village,no,4,Harvest Tour: Volcano,
86,10,6,402,Village,no,4,The Nocturnal Enchanter,
87,10,7,403,Village,no,4,Wyvern of the Wind,
88,11,0,404,Village,no,4,Jurassic Treasure: The Bug,
89,11,1,405,Village,no,4,Unlock the Secret to...,
90,11,2,406,Village,no,4,A Unique Cuppa,
91,11,3,407,Village,no,4,Hunt-a-thon: Gendrome,
92,11,4,408,Village,no,4,Mining: The Final Frontier,
93,11,5,409,Village,no,4,Wrath of the Rathian,
94,11,6,410,Village,no,4,Noise Violation,
95,11,7,411,Village,no,4,Hunt-a-thon: Yian Kut-Ku,
96,12,0,412,Village,no,4,Hunt-a-thon: Velocidrome,
97,12,1,413,Village,no,4,The New Tenant,
98,12,2,414,Village,no,4,Lagombi Lair,
99,12,3,415,Village,no,4,Hungry Eyes,
100,12,4,416,Village,no,4,Royal Pains,
101,12,5,417,Village,no,4,Peddling Practice,
102,12,6,418,Village,no,4,Island Menace,
103,12,7,419,Village,no,4,Deviled Legs,
104,13,0,420,Village,no,4,Hunt-a-thon: Daimyo Hermitaur,
105,13,1,421,Village,no,4,Marshlands Mission,
106,13,2,422,Village,no,4,Serpentine Samba,
107,13,3,423,Village,no,4,Lurkin' in the Murk,
108,13,4,424,Village,no,4,Crustacean Infestation,
109,13,5,425,Village,no,4,Tumbling Troublemaker,
110,13,6,426,Village,no,4,Crustacean Infatuation,
111,13,7,427,Village,no,4,Rocking the Uroktor,
112,14,0,428,Village,no,4,Great Ore Discovery,
113,14,1,429,Village,no,4,Volcano Accounting,
114,14,2,501,Village,no,5,The Dark Age,
115,14,3,502,Village,no,5,Trifecta of Terror,
116,14,4,503,Village,no,5,Garuga of the Hills,
117,14,5,504,Village,no,5,The Thunderclaw Wyvern,
118,14,6,505,Village,no,5,Fungus Fetch,
119,14,7,506,Village,no,5,Two Roars in the Snow,
120,15,0,507,Village,no,5,Hunt-a-thon: Khezu,
121,15,1,508,Village,no,5,The Unwavering Colossus,
122,15,2,509,Village,no,5,Lagiacrus Fuss,
123,15,3,510,Village,no,5,The Entrancing Water Dancer,
124,15,4,511,Village,no,5,The Fisherman's Fiend,
125,15,5,512,Village,no,5,Island Heat,
126,15,6,513,Village,no,5,Double Vision,
127,15,7,514,Village,no,5,Hunt-a-thon: Gypceros,
128,16,0,515,Village,no,5,Behind Closed Ores,
129,16,1,516,Village,no,5,"A King, Robed in Smoke",
130,16,2,517,Village,no,5,Fight or Uragaan!,
131,16,3,518,Village,no,5,Great Knuckleballs o' Fire!,
132,16,4,519,Village,no,5,Hunt-a-thon: Iodrome,
133,16,5,520,Village,no,5,Envoy to Disaster,
134,16,6,521,Village,no,5,A Late Jurassic Excursion,
135,16,7,522,Village,no,5,A Sandy Battle Royale,
136,17,0,523,Village,no,5,Scientific Method,
137,17,1,601,Village,no,6,The Scorching Blade,
138,17,2,602,Village,no,6,"Dark Wings, Dark Work",
139,17,3,603,Village,no,6,Tuff Turf,
140,17,4,604,Village,no,6,From Beyond the Sands,
141,17,5,605,Village,no,6,Tigrex by the Tail,
142,17,6,606,Village,no,6,A Thousand Scales of Dread,
143,17,7,607,Village,no,6,The Perilous Pair,
144,18,0,608,Village,no,6,The Hero's Journey,
145,18,1,609,Village,no,6,The Bellowing Zinogre,
146,18,2,610,Village,no,6,Brachydios Mio!,
147,18,3,611,Village,no,6,Under the Gaze of Heaven,
148,18,4,612,Village,no,6,Break the Brachydios,
149,18,5,613,Village,no,6,Night Terrors,
150,18,6,614,Village,no,6,Bristly Fanged Beasts,
151,18,7,615,Village,no,6,Drawing the Waterline,
152,19,0,616,Village,no,6,The Cankerous Quagmire,
153,19,1,617,Village,no,6,Volcano Triple Play,
154,19,2,618,Village,no,6,It's Electric,
155,19,3,619,Village,no,6,The White Brute,
156,19,4,620,Village,no,6,Stop the Wheel,
157,19,5,621,Village,no,6,The Fated Four,
158,19,6,622,Village,no,6,Advanced: Fungus Fetchin',
159,19,7,623,Village,no,6,Advanced: Jurassic Treasure,
160,20,0,624,Village,no,6,Advanced: Sly Swooper,
161,20,1,625,Village,no,6,Advanced: Invoking Rath,
162,20,2,626,Village,no,6,Advanced: Seismic Scares,
163,20,3,627,Village,no,6,Advanced: Twinkle Toes,
164,20,4,628,Village,no,6,Advanced: Seltas Queen,
165,20,5,629,Village,no,6,Advanced: The Goliaths,
166,20,6,630,Village,no,6,Advanced: Barrage of Blue,
167,20,7,631,Village,no,6,Advanced: Seeing Red,
168,21,0,632,Village,no,6,Advanced: Nothing is Sacred,
169,21,1,633,Village,no,6,Advanced: Snowtal Recall,
170,21,2,634,Village,no,6,Advanced: Invisible Thief,
171,21,3,635,Village,no,6,Advanced: Teostra's Return,
172,21,4,636,Village,no,6,Advanced: Might is Right,
173,21,5,637,Village,no,6,Advanced: State in Flux,
174,21,6,638,Village,no,6,Advanced: The Field's a Stage,
175,21,7,639,Village,no,6,Advanced: Wrath of Rath,
176,22,0,640,Village,no,6,Advanced: The Golden Pair,
177,22,1,641,Village,no,6,Advanced: Out of the Fry Pan,
178,22,2,702,Village,no,7,Harvest Tour: Ruined Pinnacle,
179,22,3,701,Village,no,7,Harvest Tour: Desert,
180,22,4,721,Village,no,7,Harvest Tour: Ancestral Steppe,
181,22,5,722,Village,no,7,Harvest Tour: Primal Forest,
182,22,6,723,Village,no,7,Harvest Tour: Jurassic Frontier,
183,22,7,724,Village,no,7,Harvest Tour: Dunes,
184,23,0,725,Village,no,7,Harvest Tour: Verdant Hills,
185,23,1,726,Village,no,7,Harvest Tour: Arctic Ridge,
186,23,2,727,Village,no,7,Harvest Tour: Misty Peaks,
187,23,3,728,Village,no,7,Defiant Maccao,
188,23,4,704,Village,no,7,Azure Azure Can Be,
189,23,5,706,Village,no,7,Kut-Ku Misunderstood,
190,23,6,713,Village,no,7,Research Team's First Rodeo,
191,23,7,714,Village,no,7,"Ruined Pinnacle, RUINED",
192,24,0,715,Village,no,7,Brave New Ore,
193,24,1,730,Village,no,7,Husk Hunter,
194,24,2,729,Village,no,7,Wyvern Egg Delivery: Breakfast,
195,24,3,711,Village,no,7,Fashion Victim,
196,24,4,717,Village,no,7,A Friend in Need,
197,24,5,718,Village,no,7,March of the Genprey,
198,24,6,719,Village,no,7,On Burrowed Time,
199,24,7,720,Village,no,7,A Berry Dubious Idea,
200,25,0,703,Village,no,7,Bug Appétit Encore,
201,25,1,707,Village,no,7,Enough Monkeying Around,
202,25,2,709,Village,no,7,Poisoned for Action,
203,25,3,710,Village,no,7,Spit It Out,
204,25,4,733,Village,no,7,Eau de Congalala,
205,25,5,734,Village,no,7,Bag a Barroth!,
206,25,6,732,Village,no,7,Dune the Honors,
207,25,7,735,Village,no,7,Verdant Hills Horror,
208,26,0,705,Village,no,7,Investment Flanking,
209,26,1,708,Village,no,7,The Killer Rabbit of Arctic Ridge,
210,26,2,716,Village,no,7,Taking Royal Liberties,
211,26,3,736,Village,no,7,Season's Eatings,
212,26,4,801,Village,no,8,Harvest Tour: Jungle,
213,26,5,820,Village,no,8,Harvest Tour: Frozen Seaway,
214,26,6,821,Village,no,8,Harvest Tour: Volcanic Hollow,
215,26,7,822,Village,no,8,Harvest Tour: Deserted Island,
216,27,0,823,Village,no,8,Harvest Tour: Marshlands,
217,27,1,824,Village,no,8,Harvest Tour: Volcano,
218,27,2,803,Village,no,8,Dazed and Confused,
219,27,3,807,Village,no,8,Grapes of Rathian,
220,27,4,809,Village,no,8,Airship Upgrade: Plesioth,
221,27,5,812,Village,no,8,Naked Aggression,
222,27,6,825,Village,no,8,Mushroom for Improvement,
223,27,7,826,Village,no,8,I See It Rollin'...,
224,28,0,808,Village,no,8,It's Gonna Eat Me!,
225,28,1,814,Village,no,8,Airship Upgrade: Nargacuga,
226,28,2,815,Village,no,8,"Wrong Bird, Idiots...",
227,28,3,816,Village,no,8,A Trace of Light,
228,28,4,817,Village,no,8,Shell Game,
229,28,5,828,Village,no,8,Wyvern Egg Delivery: Lunch,
230,28,6,829,Village,no,8,My New Life as a Maccao,
231,28,7,806,Village,no,8,Primal Forest Arachnids,
232,29,0,830,Village,no,8,Much Ado about Najarala,
233,29,1,804,Village,no,8,Bloof!,
234,29,2,831,Village,no,8,A Seaway Just for You,
235,29,3,832,Village,no,8,A Cure for Laziness,
236,29,4,833,Village,no,8,The Furtilizer That Time Furgot,
237,29,5,834,Village,no,8,Just Deserts,
238,29,6,813,Village,no,8,The Perils of Commerce,
239,29,7,805,Village,no,8,Khezu Deserve It,
240,30,0,810,Village,no,8,Whiteout,
241,30,1,835,Village,no,8,Fishing's Lure,
242,30,2,836,Village,no,8,A Royal Rumble,
243,30,3,837,Village,no,8,The Way of the Nargacuga,
244,30,4,838,Village,no,8,Deserted Island Missive,
245,30,5,802,Village,no,8,Perfectly Normal Rock,
246,30,6,839,Village,no,8,Marshlands Horror Story,
247,30,7,811,Village,no,8,Airship Upgrade: Lavasioth,
248,31,0,818,Village,no,8,"It's Not Uragaan's, It's Mine!",
249,31,1,840,Village,no,8,Volcanic Vexations,
250,31,2,917,Village,no,9,Rathalos Topping,
251,31,3,918,Village,no,9,Taming of the Zinogre,
252,31,4,919,Village,no,9,Ore d'Oeuvres,
253,31,5,916,Village,no,9,Ruined and Tarnished,
254,31,6,920,Village,no,9,Desert Death Duel,
255,31,7,914,Village,no,9,Fearful Symmetry,
256,32,0,902,Village,no,9,The Fly in the Ointment,
257,32,1,904,Village,no,9,Lagiacrus x Width x Height,
258,32,2,905,Village,no,9,Whatdunnit,
259,32,3,921,Village,no,9,Soap Opera,
260,32,4,922,Village,no,9,Mt. Duramboros,
261,32,5,923,Village,no,9,A Jungle Just for You,
262,32,6,924,Village,no,9,Flappy Pest,
263,32,7,925,Village,no,9,Pheromone Moans,
264,33,0,926,Village,no,9,Primal Panic,
265,33,1,927,Village,no,9,Distress Signal,
266,33,2,901,Village,no,9,Airship Upgrade: Barioth,
267,33,3,928,Village,no,9,Snow Joke,
268,33,4,929,Village,no,9,Ruler of the Frozen Seaway,
269,33,5,930,Village,no,9,An Ice Surprise,
270,33,6,903,Village,no,9,You're under a Rath,
271,33,7,931,Village,no,9,Capture the Agnaktor,
272,34,0,910,Village,no,9,"Great, Glavenus Again",
273,34,1,932,Village,no,9,Desert Double Act,
274,34,2,908,Village,no,9,"Alas, Astalos Again",
275,34,3,933,Village,no,9,Interruption: Eggstra Delivery,
276,34,4,934,Village,no,9,Once upon a Barioth,
277,34,5,909,Village,no,9,"Groan, Gammoth Again",
278,34,6,935,Village,no,9,Snowball Skirmish,
279,34,7,907,Village,no,9,"Man, Mizutsune Again?",
280,35,0,936,Village,no,9,Sky Tribe: Rice to the Occasion,
281,35,1,906,Village,no,9,Wish upon a...Gravios?,
282,35,2,913,Village,no,9,Earn Your Gear,
283,35,3,911,Village,no,9,You Had One Job,
284,35,4,938,Village,no,9,Disaster on the Steppes,
285,35,5,939,Village,no,9,Jurassic Frontier Fracas,
286,35,6,940,Village,no,9,Just a Mirage...?,
287,35,7,941,Village,no,9,Trouble Comes in Threes,
288,36,0,915,Village,no,9,Impossible Standards,
289,36,1,937,Village,no,9,My Kirin for a Horse,
290,36,2,1005,Village,no,10,Beware the Comet of Disaster,
291,36,3,1053,Village,no,10,Beware the Comet of Disaster,
292,36,4,1022,Village,no,10,The Baleful Comet,
293,36,5,1021,Village,no,10,Turn That Frown Upside Down,
294,36,6,1020,Village,no,10,An Almost-Certainly-Fine Comet,
295,36,7,1031,Village,no,10,Deviljho Dispossession,
296,37,0,1001,Village,no,10,Thousand-Blade Brouhaha,
297,37,1,1002,Village,no,10,Duel With the Devil,
298,37,2,1006,Village,no,10,Roar of the Rajang,
299,37,3,1054,Village,no,10,Wyvern Egg Delivery: Dinner,
300,37,4,1032,Village,no,10,"Red Dragon, Green Dragon",
301,37,5,1033,Village,no,10,Primal Panic,
302,37,6,1034,Village,no,10,A Cure for Idleness,
303,37,7,1003,Village,no,10,Bad Hair Day: Brachydios,
304,38,0,1035,Village,no,10,Bring Me My Sword,
305,38,1,1036,Village,no,10,Horned and Dangerous,
306,38,2,1007,Village,no,10,Deviljho Food Cake,
307,38,3,1037,Village,no,10,Barioth's Blizzard,
308,38,4,1038,Village,no,10,Bag a Brachydios,
309,38,5,1004,Village,no,10,Wheel of Time,
310,38,6,1046,Village,no,10,Coalition of Chaos,
311,38,7,1047,Village,no,10,Verdant Hills Just for You,
312,39,0,1048,Village,no,10,Misty Peaks Missive,
313,39,1,1049,Village,no,10,Deserted Islands Horror,
314,39,2,1050,Village,no,10,The Marshlands Morass,
315,39,3,1049,Village,no,10,Deserted Islands Horror,duplicate ID; the game reads the first occurrence only
316,39,4,1050,Village,no,10,The Marshlands Morass,duplicate ID; the game reads the first occurrence only
317,39,5,1026,Village,no,10,Grave Peril,
318,39,6,1017,Village,no,10,King of Hellfire,
319,39,7,1018,Village,no,10,The Seat of a God,
320,40,0,1019,Village,no,10,Stormlord,
321,40,1,1039,Village,no,10,Blazing Black of a Dark God,
322,40,2,1040,Village,no,10,Advanced: Ranging Rathalos,
323,40,3,1041,Village,no,10,Advanced: Roaring in the Ridge,
324,40,4,1042,Village,no,10,Advanced: Moonlight Zinogre,
325,40,5,1012,Village,no,10,Advanced: Wrong One Silver,
326,40,6,1013,Village,no,10,Advanced: Heart of Gold,
327,40,7,1044,Village,no,10,Advanced: Trial at the Pinnacle,
328,41,0,1009,Village,no,10,Advanced: Steel Yourself,
329,41,1,1045,Village,no,10,Advanced: Karma Chameleos,
330,41,2,1011,Village,no,10,Advanced: Empire of the Sun,
331,41,3,1051,Village,no,10,Advanced: Jurassic Pair,
332,41,4,1052,Village,no,10,Advanced: Quarrel Quelling,
333,41,5,1027,Village,no,10,Advanced: Monster Hunter!,
334,41,6,1028,Village,no,10,Advanced: Proof of a Champion,
335,41,7,1029,Village,no,10,Advanced: Wycademy Challenge,
336,42,0,1030,Village,no,10,Advanced: Guild's Greatest Hit,
337,42,1,1055,Village,no,10,Advanced: Ultimate Generation,
338,42,2,10101,Hub,no,1,Harvest Tour: Jurassic Frontier,
339,42,3,10102,Hub,no,1,Harvest Tour: Dunes,
340,42,4,10103,Hub,no,1,Harvest Tour: Verdant Hills,
341,42,5,10104,Hub,no,1,Harvest Tour: Arctic Ridge,
342,42,6,10105,Hub,no,1,Harvest Tour: Misty Peaks,
343,42,7,10106,Hub,no,1,Boot to the Head,
344,43,0,10107,Hub,no,1,Tackling the Tetsucabra,
345,43,1,10108,Hub,no,1,Lost in the Jurassic Frontier,
346,43,2,10109,Hub,no,1,Red-Faced Ruffians,
347,43,3,10110,Hub,no,1,A Fern is Forever,
348,43,4,10111,Hub,no,1,Gendrome Roadblock,
349,43,5,10112,Hub,no,1,In Pursuit of the Sand Wyvern,
350,43,6,10113,Hub,no,1,Shells of Steel,
351,43,7,10114,Hub,no,1,Hermitaur Party,
352,44,0,10115,Hub,no,1,Ingredient Hunter,
353,44,1,10116,Hub,no,1,Hunt Down the Velocidrome!,
354,44,2,10117,Hub,no,1,Local Threat,
355,44,3,10118,Hub,no,1,Financial Focus on Fungus,
356,44,4,10119,Hub,no,1,Farming Frustrations,
357,44,5,10120,Hub,no,1,Snow with Occasional Lagombi,
358,44,6,10121,Hub,no,1,Preying on Giaprey,
359,44,7,10122,Hub,no,1,Special Home Brew,
360,45,0,10123,Hub,no,1,Bulldrome of the Peaks,
361,45,1,10124,Hub,no,1,The Ingredient of Legend,
362,45,2,10125,Hub,no,1,Royal Spit Take,
363,45,3,10126,Hub,no,1,A Mother's Woes,
364,45,4,10127,Hub,no,1,Jaggi Junket,
365,45,5,10128,Hub,no,1,The Next Best Thing,
366,45,6,10201,Hub,no,2,Harvest Tour: Deserted Island,
367,45,7,10202,Hub,no,2,Harvest Tour: Marshlands,
368,46,0,10203,Hub,no,2,Insomnia? Meet Hypnotism,
369,46,1,10204,Hub,no,2,Walk 'n Roll,
370,46,2,10205,Hub,no,2,Rocking Rhenoplos,
371,46,3,10206,Hub,no,2,The Desert Gourmand,
372,46,4,10207,Hub,no,2,Tongue-Tied,
373,46,5,10208,Hub,no,2,The Poison-fanged Duo,
374,46,6,10209,Hub,no,2,Konchu Collector,
375,46,7,10210,Hub,no,2,Liver of Legend!,
376,47,0,10211,Hub,no,2,Noise Violation,
377,47,1,10212,Hub,no,2,In Search of the Yian Garuga,
378,47,2,10213,Hub,no,2,Finishing the Job,
379,47,3,10214,Hub,no,2,Fresh is Best,
380,47,4,10215,Hub,no,2,The Shadow in the Mountains,
381,47,5,10216,Hub,no,2,The New Tenant,
382,47,6,10217,Hub,no,2,Blango Slaying Tactics,
383,47,7,10218,Hub,no,2,Operation: Secure Specimen,
384,48,0,10219,Hub,no,2,Royal Assassination,
385,48,1,10220,Hub,no,2,Ahoy! Royal Ludroth!,
386,48,2,10221,Hub,no,2,Bye Bye Jaggia,
387,48,3,10222,Hub,no,2,Malfestio Festival,
388,48,4,10223,Hub,no,2,Wyvern of the Wind,
389,48,5,10224,Hub,no,2,Tetsucabra Bounty,
390,48,6,10225,Hub,no,2,Deserted Island Dustup,
391,48,7,10226,Hub,no,2,Bnahabra Bloodbath,
392,49,0,10227,Hub,no,2,Poisonous Pest,
393,49,1,10228,Hub,no,2,Pincer through the Sky,
394,49,2,10229,Hub,no,2,Serpentine Samba,
395,49,3,10230,Hub,no,2,Ioprey Hunting,
396,49,4,10231,Hub,no,2,Attack of the Giant Bugs!,
397,49,5,10232,Hub,no,2,Collect to Combine,
398,49,6,10301,Hub,no,3,Harvest Tour: Volcano,
399,49,7,10302,Hub,no,3,Flames of Glavenus Passion,
400,50,0,10303,Hub,no,3,Tigrex by the Tail,
401,50,1,10304,Hub,no,3,"Dark Wings, Dark Work",
402,50,2,10305,Hub,no,3,Fossilized Memories,
403,50,3,10306,Hub,no,3,A Thousand Scales of Dread,
404,50,4,10307,Hub,no,3,A Shocking Scoundrel,
405,50,5,10308,Hub,no,3,The King's Domain,
406,50,6,10309,Hub,no,3,Fury Run Afoul,
407,50,7,10310,Hub,no,3,Lagiacrus Lethargy,
408,51,0,10311,Hub,no,3,Moonlit Bubble Bath,
409,51,1,10312,Hub,no,3,Topple the Monarch,
410,51,2,10313,Hub,no,3,Lagiacrushed,
411,51,3,10314,Hub,no,3,Tuff Turf,
412,51,4,10315,Hub,no,3,Isle About that Bass,
413,51,5,10316,Hub,no,3,Heaven and Earth,
414,51,6,10317,Hub,no,3,Fro Shizzle,
415,51,7,10318,Hub,no,3,Bladed Glavenus,
416,52,0,10319,Hub,no,3,Fight or Uragaan!,
417,52,1,10320,Hub,no,3,The Shogun's Encampment,
418,52,2,10321,Hub,no,3,Crustacean Infestation,
419,52,3,10322,Hub,no,3,Scavengers United,
420,52,4,10323,Hub,no,3,More Coal Please,
421,52,5,10324,Hub,no,3,An Early Jurassic Excursion,
422,52,6,10325,Hub,no,3,Wyvern Sand Runners,
423,52,7,10326,Hub,no,3,"Zinogre, Bearly Fazed",
424,53,0,10327,Hub,no,3,Making it Safe for Swine,
425,53,1,10328,Hub,no,3,Rumble in the Volcano,
426,53,2,10329,Hub,no,3,It's Electric,
427,53,3,10330,Hub,no,3,The White Brute,
428,53,4,10331,Hub,no,3,The Frozen Dictator,
429,53,5,10332,Hub,no,3,The Elder Dragon of Mist,
430,53,6,10333,Hub,no,3,Emperor of Flame,
431,53,7,10334,Hub,no,3,Stop the Wheel,
432,54,0,10335,Hub,no,3,Two-headed Carcass,
433,54,1,10401,Hub,no,4,Harvest Tour: A. Steppe,
434,54,2,10402,Hub,no,4,Harvest Tour: Primal Forest,
435,54,3,10403,Hub,no,4,Harvest Tour: Jurassic Frontier,
436,54,4,10404,Hub,no,4,Harvest Tour: Dunes,
437,54,5,10405,Hub,no,4,Harvest Tour: Verdant Hills,
438,54,6,10406,Hub,no,4,Harvest Tour: Arctic Ridge,
439,54,7,10407,Hub,no,4,Harvest Tour: Misty Peaks,
440,55,0,10408,Hub,no,4,Swing into Action,
441,55,1,10409,Hub,no,4,Ruining the Ruins,
442,55,2,10410,Hub,no,4,Bag the Bounding Bandit,
443,55,3,10411,Hub,no,4,Jaggi of the Steppe,
444,55,4,10412,Hub,no,4,Ancestral Steppe Fungus Run,
445,55,5,10413,Hub,no,4,Bug Appétit,
446,55,6,10414,Hub,no,4,Gendrome Roadblock,
447,55,7,10415,Hub,no,4,Lost in the Primal Forest,
448,56,0,10416,Hub,no,4,Hunt Down the Velocidrome!,
449,56,1,10417,Hub,no,4,Poison Paralysis Pinch,
450,56,2,10418,Hub,no,4,Crystal Bone Collector,
451,56,3,10419,Hub,no,4,Hair of the Dog,
452,56,4,10420,Hub,no,4,Tackling the Tetsucabra,
453,56,5,10421,Hub,no,4,So Notable: Great Maccao,
454,56,6,10422,Hub,no,4,The Land Sharq,
455,56,7,10423,Hub,no,4,Shells of Steel,
456,57,0,10424,Hub,no,4,Birds of a Feather,
457,57,1,10425,Hub,no,4,Bullfango Brigade,
458,57,2,10426,Hub,no,4,Delicious White Livers,
459,57,3,10427,Hub,no,4,The Bulldrome Charges,
460,57,4,10434,Hub,no,4,Enter the Giadrome,
461,57,5,10428,Hub,no,4,Snow with Occasional Lagombi,
462,57,6,10429,Hub,no,4,Arzuros Encroaches,
463,57,7,10430,Hub,no,4,Royal Spit Take,
464,58,0,10431,Hub,no,4,Netting Neopterons,
465,58,1,10432,Hub,no,4,Clash of Rivals,
466,58,2,10433,Hub,no,4,A Powerful Team,
467,58,3,10501,Hub,no,5,Harvest Tour: Frozen Seaway,
468,58,4,10502,Hub,no,5,Harvest Tour: Volcanic Hollow,
469,58,5,10503,Hub,no,5,Harvest Tour: Deserted Island,
470,58,6,10504,Hub,no,5,Harvest Tour: Marshlands,
471,58,7,10505,Hub,no,5,Harvest Tour: Volcano,
472,59,0,10506,Hub,no,5,So Notable: Kecha Wacha,
473,59,1,10507,Hub,no,5,Ancestral Steppe Accounting,
474,59,2,10543,Hub,no,5,Pink Stink,
475,59,3,10508,Hub,no,5,Dragon Lady,
476,59,4,10509,Hub,no,5,The Ioprey Leader,
477,59,5,10510,Hub,no,5,The Intelligent Malfestio,
478,59,6,10511,Hub,no,5,Serpentine Samba,
479,59,7,10512,Hub,no,5,Spotted Beauty,
480,60,0,10513,Hub,no,5,Primal Forest Accounting,
481,60,1,10514,Hub,no,5,Fin Finder,
482,60,2,10515,Hub,no,5,The Walls Have Eyes,
483,60,3,10516,Hub,no,5,Must Love Lagombi,
484,60,4,10517,Hub,no,5,Zamite Fight,
485,60,5,10518,Hub,no,5,Stone-cold Stones,
486,60,6,10519,Hub,no,5,Liver and Let Die,
487,60,7,10520,Hub,no,5,Fight or Uragaan!,
488,61,0,10521,Hub,no,5,Worst. Trip. Ever!,
489,61,1,10522,Hub,no,5,Tetsucabra Bounty,
490,61,2,10523,Hub,no,5,Close Coal,
491,61,3,10524,Hub,no,5,Nargacuga Throwdown,
492,61,4,10525,Hub,no,5,Insomnia? Meet Hypnotism x 2,
493,61,5,10544,Hub,no,5,Brute of the Sands,
494,61,6,10526,Hub,no,5,The Desert Gourmand,
495,61,7,10527,Hub,no,5,Line in the Sand,
496,62,0,10528,Hub,no,5,Wrath of the Rathian,
