index,monster,category,confidence,has_size_record,notes
102,Konchu,small,DERIVED,no,
103,Maccao,small,DERIVED,no,
104,Larinoth,small,DERIVED,no,
105,Moofah,small,DERIVED_EDITOR,no,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
106,,unknown,UNRESOLVED,unknown,editor labels Unknown; no monster known
107,,unknown,UNRESOLVED,unknown,editor labels Unknown; no monster known
108,,unknown,UNRESOLVED,unknown,editor labels Unknown; no monster known
109,,unknown,UNRESOLVED,unknown,editor labels Unknown; no monster known
110,,unknown,UNRESOLVED,unknown,editor labels Unknown; no monster known
111,,unknown,UNRESOLVED,unknown,editor labels Unknown; no monster known
112,,unknown,UNRESOLVED,unknown,editor labels Unknown; no monster known
113,Basarios,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
114,Gravios,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
115,Diablos,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
116,Bloodbath Diablos,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
117,Lao-Shan Lung,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1); editor IgnoreList: no crown sizes shown
118,Fatalis,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
119,Crimson Fatalis,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
120,White Fatalis,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
121,Rustrazor Ceanataur,large,CONFIRMED,yes,verified by controlled hunt diff (tally and size record agree)
122,Congalala,large,CONFIRMED,yes,editor name + Monster List 3(0) = tally 3 capture 0; marker readout (Soulseer) was a transcription slip
123,Giadrome,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
124,Barioth,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
125,Barroth,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
126,Raging Brachydios,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1); editor IgnoreList: no crown sizes shown
127,Nerscylla,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
128,Chaotic Gore Magala,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1); editor IgnoreList: no crown sizes shown
129,Nightcloak Malfestio,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
130,Boltreaver Astalos,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
131,Soulseer Mizutsune,large,CONFIRMED,yes,editor name + Monster List 3(1) = tally 2 capture 1
132,Elderfrost Gammoth,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
133,Valstrax,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
134,,large,UNRESOLVED,yes,editor labels Unknown[133]; editor IgnoreList: no crown sizes shown
135,Ahtal-Ka,large,DERIVED_EDITOR,yes,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1); editor IgnoreList: no crown sizes shown
136,Great Thunderbug,small,DERIVED_EDITOR,no,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
137,Conga,small,DERIVED_EDITOR,no,name from MHXXSwitchSaveEditor MonsterHuntNames (editor index = i-1)
