id,bit_byte,bit,name
116,14,4,"Tempest Axe I"
117,14,5,"Tempest Axe II"
118,14,6,"Tempest Axe III"
119,14,7,"Dragon Blast I"
120,15,0,"Dragon Blast II"
121,15,1,"Dragon Blast III"
122,15,2,"Blast Dash I"
123,15,3,"Blast Dash II"
124,15,4,"Blast Dash III"
125,15,5,"Dragon Breath I"
126,15,6,"Dragon Breath II"
127,15,7,"Dragon Breath III"
128,16,0,"AA Flare I"
129,16,1,"AA Flare II"
130,16,2,"AA Flare III"
131,16,3,"Triple Volley I"
132,16,4,"Triple Volley II"
133,16,5,"Triple Volley III"
134,16,6,"Haste Rain I"
135,16,7,"Haste Rain II"
136,17,0,"Haste Rain III"
137,17,1,"Blade Wire I"
138,17,2,"Blade Wire II"
139,17,3,"Blade Wire III"
140,17,4,"Tactical Retreat I"
141,17,5,"Tactical Retreat II"
142,17,6,"Tactical Retreat III"
143,17,7,"Blood Wind I"
144,18,0,"Blood Wind II"
145,18,1,"Blood Wind III"
146,18,2,"Aerial Slam I"
147,18,3,"Aerial Slam II"
148,18,4,"Aerial Slam III"
149,18,5,"Wolf's Maw I"
150,18,6,"Wolf's Maw II"
151,18,7,"Wolf's Maw III"
152,19,0,"Spiral Slice I"
153,19,1,"Spiral Slice II"
154,19,2,"Spiral Slice III"
155,19,3,"Euphony I"
156,19,4,"Euphony II"
157,19,5,"Euphony III"
158,19,6,"Sonic Smash I"
159,19,7,"Sonic Smash II"
160,20,0,"Sonic Smash III"
161,20,1,"Harmonize I"
162,20,2,"Harmonize II"
163,20,3,"Harmonize III"
164,20,4,"Invigoration I"
165,20,5,"Invigoration II"
166,20,6,"Invigoration III"
167,20,7,"Extract Hunter I"
168,21,0,"Extract Hunter II"
169,21,1,"Extract Hunter III"
170,21,2,"Swarm I"
171,21,3,"Swarm II"
172,21,4,"Swarm III"
173,21,5,"Bug Blow I"
174,21,6,"Bug Blow II"
175,21,7,"Bug Blow III"
176,22,0,"Bug Majeure I"
177,22,1,"Bug Majeure II"
178,22,2,"Bug Majeure III"
179,22,3,"Energy Blade I"
180,22,4,"Energy Blade II"
181,22,5,"Energy Blade III"
182,22,6,"Limit Breaker I"
183,22,7,"Limit Breaker II"
184,23,0,"Limit Breaker III"
185,23,1,"Healing Phial I"
186,23,2,"Healing Phial II"
187,23,3,"Healing Phial III"
188,23,4,"Ripper Shield I"
189,23,5,"Ripper Shield II"
190,23,6,"Ripper Shield III"
