quest_id,name,rule
515,Behind Closed Ores,flag:29
516,"A King, Robed in Smoke",flag:29
517,Fight or Uragaan!,flag:29
518,Great Knuckleballs o' Fire!,flag:29
519,Hunt-a-thon: Iodrome,flag:29
520,Envoy to Disaster,flag:29
521,A Late Jurassic Excursion,flag:29
522,A Sandy Battle Royale,flag:29
523,Scientific Method,flag:29
601,The Scorching Blade,flag:34
602,"Dark Wings, Dark Work",flag:34
603,Tuff Turf,flag:34
604,From Beyond the Sands,flag:34
605,Tigrex by the Tail,flag:34
606,A Thousand Scales of Dread,flag:34
607,The Perilous Pair,flag:396
608,The Hero's Journey,flag:542
609,The Bellowing Zinogre,flag:500
610,Brachydios Mio!,flag:34
611,Under the Gaze of Heaven,flag:34
612,Break the Brachydios,cleared:610
613,Night Terrors,flag:34
614,Bristly Fanged Beasts,flag:34
615,Drawing the Waterline,flag:422
616,The Cankerous Quagmire,flag:34
617,Volcano Triple Play,flag:34
618,It's Electric,cleared:619
619,The White Brute,flag:34
620,Stop the Wheel,flag:36
621,The Fated Four,flag:38
622,Advanced: Fungus Fetchin',flag:496
623,Advanced: Jurassic Treasure,flag:364
624,Advanced: Sly Swooper,flag:374
625,Advanced: Invoking Rath,flag:372
626,Advanced: Seismic Scares,flag:428
627,Advanced: Twinkle Toes,flag:534
628,Advanced: Seltas Queen,flag:526
629,Advanced: The Goliaths,flag:304
630,Advanced: Barrage of Blue,flag:530
631,Advanced: Seeing Red,flag:532
632,Advanced: Nothing is Sacred,flag:318
633,Advanced: Snowtal Recall,flag:510
634,Advanced: Invisible Thief,flag:376
635,Advanced: Teostra's Return,flag:438
636,Advanced: Might is Right,flag:685
637,Advanced: State in Flux,flag:685
638,Advanced: The Field's a Stage,flag:686
639,Advanced: Wrath of Rath,flag:160
640,Advanced: The Golden Pair,flag:210
641,Advanced: Out of the Fry Pan,flag:260
702,Harvest Tour: Ruined Pinnacle,flag:1008
701,Harvest Tour: Desert,flag:1069
721,Harvest Tour: Ancestral Steppe,flag:1008
722,Harvest Tour: Primal Forest,flag:1069
723,Harvest Tour: Jurassic Frontier,flag:1069
724,Harvest Tour: Dunes,flag:1070
725,Harvest Tour: Verdant Hills,flag:1070
726,Harvest Tour: Arctic Ridge,flag:1008
727,Harvest Tour: Misty Peaks,flag:1070
728,Defiant Maccao,flag:1008
704,Azure Azure Can Be,flag:1008
706,Kut-Ku Misunderstood,flag:1008
713,Research Team's First Rodeo,flag:1006
714,"Ruined Pinnacle, RUINED",flag:1008
715,Brave New Ore,flag:1070
730,Husk Hunter,flag:1069
729,Wyvern Egg Delivery: Breakfast,flag:1008
711,Fashion Victim,flag:1070
717,A Friend in Need,flag:1012
718,March of the Genprey,flag:1069
719,On Burrowed Time,flag:1069
720,A Berry Dubious Idea,flag:1069
703,Bug Appétit Encore,flag:1008
707,Enough Monkeying Around,flag:1008
709,Poisoned for Action,flag:1069
710,Spit It Out,flag:1069
733,Eau de Congalala,flag:1069
734,Bag a Barroth!,flag:1070
732,Dune the Honors,flag:1070
735,Verdant Hills Horror,flag:1070
705,Investment Flanking,flag:1008
708,The Killer Rabbit of Arctic Ridge,flag:1008
716,Taking Royal Liberties,flag:1017
736,Season's Eatings,flag:1384
801,Harvest Tour: Jungle,flag:1025
820,Harvest Tour: Frozen Seaway,flag:1029
821,Harvest Tour: Volcanic Hollow,flag:1029
822,Harvest Tour: Deserted Island,flag:1025
823,Harvest Tour: Marshlands,flag:1025
824,Harvest Tour: Volcano,flag:1029
803,Dazed and Confused,flag:1025
807,Grapes of Rathian,flag:1025
809,Airship Upgrade: Plesioth,flag:1027
812,Naked Aggression,flag:1025
825,Mushroom for Improvement,flag:1025
826,I See It Rollin'...,flag:1025
808,It's Gonna Eat Me!,flag:1025
814,Airship Upgrade: Nargacuga,flag:1027
815,"Wrong Bird, Idiots...",flag:1025
816,A Trace of Light,flag:1025
817,Shell Game,flag:1025
828,Wyvern Egg Delivery: Lunch,flag:1025
829,My New Life as a Maccao,flag:1029
806,Primal Forest Arachnids,flag:1022
830,Much Ado about Najarala,flag:1025
804,Bloof!,flag:1029
831,A Seaway Just for You,flag:1029
832,A Cure for Laziness,flag:1029
833,The Furtilizer That Time Furgot,flag:1276
834,Just Deserts,flag:1029
813,The Perils of Commerce,flag:1288
805,Khezu Deserve It,flag:1025
810,Whiteout,flag:1025
835,Fishing's Lure,flag:1025
836,A Royal Rumble,flag:1025
837,The Way of the Nargacuga,flag:1029
838,Deserted Island Missive,flag:1029
802,Perfectly Normal Rock,flag:1025
839,Marshlands Horror Story,flag:1029
811,Airship Upgrade: Lavasioth,flag:1027
818,"It's Not Uragaan's, It's Mine!",flag:1338
840,Volcanic Vexations,flag:1029
917,Rathalos Topping,flag:1035
918,Taming of the Zinogre,flag:1035
919,Ore d'Oeuvres,flag:1035
916,Ruined and Tarnished,flag:1044
920,Desert Death Duel,flag:1044
914,Fearful Symmetry,flag:1328
902,The Fly in the Ointment,flag:1035
904,Lagiacrus x Width x Height,flag:1035
905,Whatdunnit,flag:1035
921,Soap Opera,flag:1044
922,Mt. Duramboros,flag:1035
923,A Jungle Just for You,flag:1050
924,Flappy Pest,flag:1272
925,Pheromone Moans,flag:1372
926,Primal Panic,flag:1047
927,Distress Signal,flag:1035
901,Airship Upgrade: Barioth,flag:1047
928,Snow Joke,flag:1044
929,Ruler of the Frozen Seaway,flag:1035
930,An Ice Surprise,flag:1035
903,You're under a Rath,flag:1035
931,Capture the Agnaktor,flag:1035
910,"Great, Glavenus Again",flag:1067
932,Desert Double Act,flag:1050
908,"Alas, Astalos Again",flag:1067
933,Interruption: Eggstra Delivery,flag:1320
934,Once upon a Barioth,flag:1050
909,"Groan, Gammoth Again",flag:1067
935,Snowball Skirmish,flag:1336
907,"Man, Mizutsune Again?",flag:1067
936,Sky Tribe: Rice to the Occasion,flag:1280
906,Wish upon a...Gravios?,flag:1033
913,Earn Your Gear,flag:1284
911,You Had One Job,flag:1050
938,Disaster on the Steppes,flag:1050
939,Jurassic Frontier Fracas,flag:1050
940,Just a Mirage...?,flag:1050
941,Trouble Comes in Threes,flag:1050
915,Impossible Standards,flag:1050
937,My Kirin for a Horse,flag:1050
1005,Beware the Comet of Disaster,flag:1050
1053,Beware the Comet of Disaster,flag:1053
1022,The Baleful Comet,flag:1053
1021,Turn That Frown Upside Down,flag:1053
1020,An Almost-Certainly-Fine Comet,flag:1053
1031,Deviljho Dispossession,flag:1340
1001,Thousand-Blade Brouhaha,flag:1053
1002,Duel With the Devil,flag:1053
1006,Roar of the Rajang,flag:1053
1054,Wyvern Egg Delivery: Dinner,flag:1053
1032,"Red Dragon, Green Dragon",flag:1053
1033,Primal Panic,flag:1053
1034,A Cure for Idleness,flag:1053
1003,Bad Hair Day: Brachydios,flag:1053
1035,Bring Me My Sword,flag:1053
1036,Horned and Dangerous,flag:1053
1007,Deviljho Food Cake,flag:1053
1037,Barioth's Blizzard,flag:1053
1038,Bag a Brachydios,flag:1053
1004,Wheel of Time,flag:1053
1046,Coalition of Chaos,flag:1053
1047,Verdant Hills Just for You,flag:1053
1048,Misty Peaks Missive,flag:1053
1049,Deserted Islands Horror,flag:1053
1050,The Marshlands Morass,flag:1053
1026,Grave Peril,flag:1054
1017,King of Hellfire,flag:1054
1018,The Seat of a God,flag:1054
1019,Stormlord,flag:1054
1039,Blazing Black of a Dark God,flag:1057
1040,Advanced: Ranging Rathalos,flag:1318
1041,Advanced: Roaring in the Ridge,flag:1344
1042,Advanced: Moonlight Zinogre,flag:1362
1012,Advanced: Wrong One Silver,flag:1059
1013,Advanced: Heart of Gold,flag:1059
1044,Advanced: Trial at the Pinnacle,flag:1072
1009,Advanced: Steel Yourself,flag:1059
1045,Advanced: Karma Chameleos,flag:1059
1011,Advanced: Empire of the Sun,flag:1059
1051,Advanced: Jurassic Pair,flag:1294
1052,Advanced: Quarrel Quelling,flag:1346
1027,Advanced: Monster Hunter!,flag:1073
1028,Advanced: Proof of a Champion,flag:1073
1029,Advanced: Wycademy Challenge,flag:1073
1030,Advanced: Guild's Greatest Hit,flag:1073
1055,Advanced: Ultimate Generation,flag:1073
10101,Harvest Tour: Jurassic Frontier,flag:101
10102,Harvest Tour: Dunes,flag:101
10103,Harvest Tour: Verdant Hills,flag:101
10104,Harvest Tour: Arctic Ridge,flag:101
10105,Harvest Tour: Misty Peaks,flag:101
10106,Boot to the Head,flag:101
10107,Tackling the Tetsucabra,flag:101
10108,Lost in the Jurassic Frontier,flag:101
10109,Red-Faced Ruffians,flag:101
10110,A Fern is Forever,flag:101
10111,Gendrome Roadblock,flag:101
10112,In Pursuit of the Sand Wyvern,flag:101
10113,Shells of Steel,flag:101
10114,Hermitaur Party,flag:101
10115,Ingredient Hunter,flag:380
10116,Hunt Down the Velocidrome!,flag:101
10117,Local Threat,flag:101
10118,Financial Focus on Fungus,flag:101
10119,Farming Frustrations,flag:101
10120,Snow with Occasional Lagombi,flag:101
10121,Preying on Giaprey,flag:101
10122,Special Home Brew,flag:101
10123,Bulldrome of the Peaks,flag:101
10124,The Ingredient of Legend,flag:434
10125,Royal Spit Take,flag:101
10126,A Mother's Woes,flag:101
10127,Jaggi Junket,flag:101
10128,The Next Best Thing,flag:101
10201,Harvest Tour: Deserted Island,flag:105
10202,Harvest Tour: Marshlands,flag:105
10203,Insomnia? Meet Hypnotism,flag:105
10204,Walk 'n Roll,flag:105
10205,Rocking Rhenoplos,flag:105
10206,The Desert Gourmand,flag:105
10207,Tongue-Tied,flag:105
10208,The Poison-fanged Duo,flag:105
10209,Konchu Collector,flag:105
10210,Liver of Legend!,flag:105
10211,Noise Violation,flag:105
10212,In Search of the Yian Garuga,flag:105
10213,Finishing the Job,flag:464
10214,Fresh is Best,flag:512
10215,The Shadow in the Mountains,flag:105
10216,The New Tenant,flag:103
10217,Blango Slaying Tactics,flag:105
10218,Operation: Secure Specimen,flag:105
10219,Royal Assassination,flag:105
10220,Ahoy! Royal Ludroth!,flag:394
10221,Bye Bye Jaggia,flag:105
10222,Malfestio Festival,flag:105
10223,Wyvern of the Wind,flag:105
10224,Tetsucabra Bounty,flag:105
10225,Deserted Island Dustup,flag:105
10226,Bnahabra Bloodbath,flag:105
10227,Poisonous Pest,flag:105
10228,Pincer through the Sky,flag:105
10229,Serpentine Samba,flag:105
10230,Ioprey Hunting,flag:105
10231,Attack of the Giant Bugs!,flag:105
10232,Collect to Combine,flag:105
10301,Harvest Tour: Volcano,flag:109
10302,Flames of Glavenus Passion,flag:109
10303,Tigrex by the Tail,flag:109
10304,"Dark Wings, Dark Work",flag:109
10305,Fossilized Memories,flag:390
10306,A Thousand Scales of Dread,flag:109
10307,A Shocking Scoundrel,flag:107
10308,The King's Domain,flag:109
10309,Fury Run Afoul,flag:109
10310,Lagiacrus Lethargy,flag:109
10311,Moonlit Bubble Bath,flag:109
10312,Topple the Monarch,flag:109
10313,Lagiacrushed,flag:484
10314,Tuff Turf,flag:109
10315,Isle About that Bass,flag:486
10316,Heaven and Earth,flag:109
10317,Fro Shizzle,flag:432
10318,Bladed Glavenus,flag:109
10319,Fight or Uragaan!,flag:109
10320,The Shogun's Encampment,flag:109
10321,Crustacean Infestation,flag:109
10322,Scavengers United,flag:109
10323,More Coal Please,flag:109
10324,An Early Jurassic Excursion,flag:109
10325,Wyvern Sand Runners,flag:109
10326,"Zinogre, Bearly Fazed",flag:109
10327,Making it Safe for Swine,flag:109
10328,Rumble in the Volcano,flag:109
10329,It's Electric,flag:109
10330,The White Brute,flag:109
10331,The Frozen Dictator,flag:109
10332,The Elder Dragon of Mist,flag:109
10333,Emperor of Flame,flag:109
10334,Stop the Wheel,flag:109
10335,Two-headed Carcass,flag:111
10401,Harvest Tour: A. Steppe,flag:113
10402,Harvest Tour: Primal Forest,flag:113
10403,Harvest Tour: Jurassic Frontier,flag:113
10404,Harvest Tour: Dunes,flag:113
10405,Harvest Tour: Verdant Hills,flag:113
10406,Harvest Tour: Arctic Ridge,flag:113
10407,Harvest Tour: Misty Peaks,flag:113
10408,Swing into Action,flag:113
10409,Ruining the Ruins,flag:113
10410,Bag the Bounding Bandit,flag:113
10411,Jaggi of the Steppe,flag:113
10412,Ancestral Steppe Fungus Run,flag:113
10413,Bug Appétit,flag:113
10414,Gendrome Roadblock,flag:113
10415,Lost in the Primal Forest,flag:113
10416,Hunt Down the Velocidrome!,flag:113
10417,Poison Paralysis Pinch,flag:113
10418,Crystal Bone Collector,flag:113
10419,Hair of the Dog,flag:113
10420,Tackling the Tetsucabra,flag:113
10421,So Notable: Great Maccao,flag:322
10422,The Land Sharq,flag:113
10423,Shells of Steel,flag:113
10424,Birds of a Feather,flag:113
10425,Bullfango Brigade,flag:113
10426,Delicious White Livers,flag:378
10427,The Bulldrome Charges,flag:113
10434,Enter the Giadrome,flag:113
10428,Snow with Occasional Lagombi,flag:113
10429,Arzuros Encroaches,flag:113
10430,Royal Spit Take,flag:113
10431,Netting Neopterons,flag:113
10432,Clash of Rivals,flag:440
10433,A Powerful Team,flag:113
10501,Harvest Tour: Frozen Seaway,flag:117
10502,Harvest Tour: Volcanic Hollow,flag:117
10503,Harvest Tour: Deserted Island,flag:117
10504,Harvest Tour: Marshlands,flag:117
10505,Harvest Tour: Volcano,flag:117
10506,So Notable: Kecha Wacha,flag:324
10507,Ancestral Steppe Accounting,flag:117
10543,Pink Stink,flag:117
10508,Dragon Lady,flag:117
10509,The Ioprey Leader,flag:117
10510,The Intelligent Malfestio,flag:117
10511,Serpentine Samba,flag:117
10512,Spotted Beauty,flag:333
10513,Primal Forest Accounting,flag:117
10514,Fin Finder,flag:117
10515,The Walls Have Eyes,flag:117
10516,Must Love Lagombi,flag:117
10517,Zamite Fight,flag:117
10518,Stone-cold Stones,flag:117
10519,Liver and Let Die,flag:494
10520,Fight or Uragaan!,flag:117
10521,Worst. Trip. Ever!,flag:117
10522,Tetsucabra Bounty,flag:117
10523,Close Coal,flag:117
10524,Nargacuga Throwdown,flag:430
10525,Insomnia? Meet Hypnotism x 2,flag:117
10544,Brute of the Sands,flag:117
10526,The Desert Gourmand,flag:117
10527,Line in the Sand,flag:333
10528,Wrath of the Rathian,flag:117
10529,Twin Velocidrome,flag:332
10530,The New Tenant,flag:392
10531,A Plesioth in the Misty Peaks,flag:115
10532,Awful Guest,flag:492
10546,Web Sighting,flag:117
10533,Poisonous Pair,flag:333
10534,Attack of the Giant Bugs!,flag:117
10545,Disruptive Eruption,flag:117
10535,You Caught This? I Caught This,flag:117
10536,Tumbling Troublemaker,flag:117
10537,Shogun in the Flames,flag:117
10538,The Most Dangerous Game,flag:117
10539,Status: Effected,flag:117
10540,Desert Brawlers,flag:544
10541,The Hunter Games,flag:117
10542,"Hunt, Sweat, and Tears",flag:117
10601,The Lightning Crown,flag:121
10602,What a Girl Wants,flag:121
10603,Rathalos Run,flag:121
10604,Watch Your Steppe,flag:328
10605,Bug Buffet,flag:121
10606,A Bewitching Dance,flag:119
10607,Dread Locked,flag:121
10670,Barioth Hunt,flag:121
10608,The Unshakable Mountain God,flag:119
10609,Topple the Monarch,flag:121
10610,Bedevil a Deviljho,flag:121
10611,Frozen Seaway Accounting,flag:121
10671,A Cure for Cowardice,flag:121
10612,Master of the Molten Deep,flag:121
10613,Duel in the Volcanic Hollow,flag:121
10614,Volcanic Hollow Accounting,flag:121
10615,Bug Bite,flag:121
10616,Heaven and Earth,flag:121
10617,From Beyond the Sands,flag:121
10618,Legend of the Monkey King,flag:121
10619,Astalos Territory,flag:121
10620,Lord of the Skies,flag:121
10621,The Rajang in the Snow,flag:121
10622,Fury Run Afoul,flag:121
10623,Bl-Bl-Blangongas!,flag:416
10624,Surrounded by Bubbles,flag:121
10625,The Moving Mountain,flag:121
10626,The Fisherman's Fiend,flag:121
10627,Open Season for Jaggia,flag:121
10628,For Whom the Gong Tolls,flag:121
10629,Quartz Rivalry,flag:121
10630,We Can Dig It,flag:121
10631,Coal Hearted,flag:546
10632,River of Fire,flag:121
10633,Dances with Wyverns,flag:121
10634,Bugging Out,flag:121
10635,A Three Hour Tour,flag:121
10636,A Hollow Defense,flag:121
10637,Wild Gunman,flag:121
10638,Marshlands Rag,flag:121
10639,Firefight to the Finish!,flag:121
10640,At the Slayground,flag:121
10641,It's Electric,flag:121
10642,The White Brute,flag:121
10643,A Scenic Locale,flag:121
10644,Miasma Attack,hub_star:6 AND atleast:2:10601|10605|10612|10613|10628
10645,Stop the Wacha!,hub_star:6 AND atleast:2:10601|10605|10612|10613|10628
10646,We Are Not Amused,hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10647,Zamtrios Fight!,hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10648,The Frog of War,hub_star:6 AND atleast:2:10601|10605|10612|10613|10628
10649,Triple Toady Terror,flag:386
10650,The Coal Still Burns,flag:384
10651,Woe Malfestio,flag:310
10652,Born of Darkness,hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10653,Nibeling on Apples,flag:516
10654,Warning: Hyper Yian Garuga!,hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10655,Hyper for Holes,flag:439
10656,The Plesioth Adventure,flag:518
10657,Daimyo of the Deserted Island,flag:439
10658,Where the Wild Manes Are,hub_star:6 AND atleast:2:10601|10605|10612|10613|10628
10659,Hyper Investigation,hub_star:6 AND atleast:2:10601|10605|10612|10613|10628
10660,The Khezu and the Shadow,hub_star:6 AND atleast:2:10601|10605|10612|10613|10628
10661,Bring On the Shogun,flag:439
10662,Unnerving Najarala,hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10663,Eruption Embodied,hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10664,The Magma's Rage,flag:424
10665,Minion Audition Imposition,flag:442
10701,Stop the Wheel,flag:125
10702,A Gathering of Wyverns,flag:125
10703,A Song of White and Lapis,flag:125
10704,A Cold Set of Armor,flag:125
10705,Rocked and Rolled,flag:125
10706,So Notable: Seregios,flag:326
10707,Hammer vs. Blade,flag:125
10708,A Roar to the Heavens,flag:125
10709,The Hapless Bodyguard,flag:548
10710,Seer of Swords,flag:125
10768,Legendary Skills?,flag:132
10711,The Yukumo Gal Special,flag:460
10712,Repaying the Favor,flag:466
10713,You Bet Your Life,flag:125
10714,Wyvern's Way,flag:125
10715,Bewitching Heat,flag:125
10716,The Mountain God's Lightning,flag:125
10717,A Man's Arena is His Castle,flag:125
10718,The Hunter Games,flag:125
10719,The Flames of War,flag:125
10720,A Shocking Revelation!,flag:125
10721,The Gathering Storm,flag:125
10722,Hellfire Star,flag:127
10723,Putting the Gore in Magala,flag:330
10770,Steppe in the Right Direction,hr:8 AND atleast:2:10644|10645|10648|10658|10659|10660
10724,"Tigrex, Tigrex, Burning Bright",flag:426
10725,A Thousand Blades of Wrath,hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10726,A Fiery Temper,flag:350
10727,The Unassailable Seltas Queen,hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10771,Rajang's Black Spirit,hr:8 AND atleast:2:10644|10645|10648|10658|10659|10660
10728,Savage Sword of the Desert,hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10729,Wyvernlit Evening,hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10730,Wyverns All Around Us,flag:372
10731,"Wild Gods, Calm Rangers",hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10732,Into the Maelstrom,flag:400
10733,The Lithe and Unbreaking,hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10734,The Peril of the Land,hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10735,The Wolf and the Footbath,flag:468
10736,The Thieving Gypceros,flag:552
10737,Steam and Smoke,flag:470
10738,The Glowing Embers,hr:7 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10739,Primal Forest Defense,flag:320
10740,The End of the Trials,flag:540
10741,The Descending Fog,flag:536
10742,Searching for Secret Baths,flag:472
10743,Show Me Your Shaka-Strength,flag:444
10744,The Marshlands Nightmare,flag:528
10745,The Birds of Prey,hr:7 AND hr:8 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10746,The Fanged Beasts,hr:7 AND hr:8 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10747,The Winged Wyverns,hr:7 AND hr:8 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10748,The Foes of the Deep,hr:7 AND hr:8 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10749,The Beasts of Brawn,hr:7 AND hr:8 AND hub_star:6 AND atleast:2:10644|10645|10648|10658|10659|10660
10750,Ring of the Silver Sol,hr:9
10751,Ring of the Golden Lune,hr:9
10752,Usurpers of the Throne,atleast:2:10750|10751
10772,Following the Fallen,atleast:1:10750 AND hr:8 AND atleast:2:10644|10645|10648|10658|10659|10660
10773,Fool's Gold,atleast:1:10751 AND hr:8 AND atleast:2:10644|10645|10648|10658|10659|10660
10774,Shining Examples,atleast:2:10750|10751 AND hr:8 AND atleast:2:10644|10645|10648|10658|10659|10660
10753,Child of Destruction,hr:9
10754,A Shock in the Dark,hr:9
10755,Triumphant Rage,flag:538
10756,The Frozen Dictator,hr:9
10757,Kushala Daora Strikes,hr:9
10758,The Elder Dragon of Mist,hr:9
10759,Beyond the Silence,hr:9
10760,Emperor of Flame,hr:9
10761,The Fires of Devastation,hr:9
10762,Grim Tidings,hr:9
10763,Absolute Zero,hr:9
10764,The Looming Calamity,hr:9
10765,The Brilliant Darkness,hr:9
11101,Harvest Tour: Ruined Pinnacle,flag:1401
11102,Harvest Tour: Desert,flag:1401
11117,Harvest Tour: Ancestral Steppe,flag:1401
11118,Harvest Tour: Primal Forest,flag:1401
11119,Harvest Tour: Jurassic Frontier,flag:1401
11120,Harvest Tour: Dunes,flag:1401
11121,Harvest Tour: Verdant Hills,flag:1401
11122,Harvest Tour: Arctic Ridge,flag:1401
11123,Harvest Tour: Misty Peaks,flag:1401
11106,Pecking Order,flag:1401
11124,After That Bird!,flag:1290
11116,Sweetheart's Pick: Lofty Ludroth,flag:1364
11125,Fangs for the Bath,flag:1401
11114,"Ruined Pinnacle, RUINED",flag:1401
11126,Just Five Morel Minutes...,flag:1401
11113,Daimyo Hermitaur Flambé,flag:1352
11112,A Berry Dubious Idea,flag:1401
11109,"Lost, But Not for Long",flag:1401
11127,Face Two Face,flag:1401
11107,Enough Monkeying Around,flag:1401
11110,Pleasantly Sozzled,flag:1278
11128,Antony and Tetsucabra,flag:1401
11103,A Brush with Bugs,flag:1401
11111,Surprise!,flag:1401
11129,The Bird Who Wood Be King,flag:1332
11108,The Killer Rabbit of Arctic Ridge,flag:1401
11105,Survival of the Biggest,flag:1401
11104,Riverside Rumble,flag:1376
11130,Water Fight,flag:1401
11201,Harvest Tour: Jungle,flag:1405
11220,Harvest Tour: Frozen Seaway,flag:1405
11221,Harvest Tour: Deserted Island,flag:1405
11222,Harvest Tour: Marshlands,flag:1405
11223,Harvest Tour: Volcano,flag:1405
11224,The Legend of King Apple,flag:1386
